source,price,total_area_m2,covered_area_m2,rooms,bedrooms,bathrooms,property_type,neighborhood,lat,lon,bedrooms_missing,bathrooms_missing,rooms_missing
A,584.0,39.0,39.0,2.0,1.0,1.0,departamento,almagro,-34.60873815826056,-58.43909947532191,0,1,0
A,252.0,35.0,35.0,2.0,1.0,1.0,departamento,flores,-34.62205081312381,-58.45626733855754,1,0,0
A,546.0,38.0,38.0,2.0,1.0,1.0,ph,belgrano,-34.57475677199572,-58.46375754499768,0,0,0
A,337.0,33.0,33.0,1.0,1.0,1.0,departamento,villa urquiza,-34.55428879305003,-58.4866156408398,1,0,0
A,774.0,76.0,76.0,3.0,2.0,1.0,departamento,boedo,-34.62344873911467,-58.40810592330541,0,1,0
A,611.0,37.0,37.0,1.0,1.0,1.0,departamento,colegiales,-34.56656285878113,-58.46213980954331,0,0,0
A,265.0,20.0,20.0,1.0,1.0,1.0,departamento,boedo,-34.64212983168328,-58.41349250687203,0,0,0
A,318.0,26.0,26.0,2.0,1.0,1.0,departamento,belgrano,-34.55459079208635,-58.48234825806085,0,0,0
A,853.0,47.0,47.0,1.0,1.0,1.0,departamento,palermo,-34.569627929749885,-58.451713695349305,0,0,0
A,840.0,62.0,62.0,3.0,1.0,1.0,departamento,caballito,-34.61029291789421,-58.422720551502856,1,0,0
A,781.0,56.0,56.0,3.0,2.0,1.0,departamento,villa crespo,-34.58711850255728,-58.430894764201575,0,0,0
A,364.0,23.0,23.0,2.0,1.0,1.0,departamento,boedo,-34.61610880581074,-58.40266087604737,0,0,0
A,600.0,42.0,42.0,1.0,1.0,1.0,departamento,nunez,-34.55378018303031,-58.45443808637519,0,1,0
A,766.0,52.0,52.0,2.0,1.0,1.0,departamento,nunez,-34.55369249053641,-58.46508935706178,1,0,0
A,469.0,34.0,34.0,1.0,1.0,1.0,departamento,villa crespo,-34.58951714216662,-58.440086617360784,0,0,0
A,881.0,50.0,50.0,2.0,1.0,1.0,ph,villa crespo,-34.613710707161275,-58.437818520860986,0,0,0
A,529.0,39.0,39.0,2.0,1.0,1.0,departamento,recoleta,-34.597810548032584,-58.407931120740606,0,0,0
A,467.0,41.0,41.0,3.0,2.0,1.0,departamento,san telmo,-34.62429127768329,-58.37588658689057,0,0,0
A,406.0,31.0,31.0,2.0,1.0,1.0,departamento,almagro,-34.6115810982583,-58.42243027596963,0,0,0
A,610.0,57.0,57.0,2.0,1.0,1.0,ph,boedo,-34.646139519279544,-58.415367195017936,0,1,0
A,457.0,46.0,46.0,1.0,1.0,1.0,departamento,san telmo,-34.62229580423215,-58.37335577347728,0,0,0
A,757.0,47.0,47.0,2.0,1.0,1.0,departamento,colegiales,-34.55973147134925,-58.43853092216487,0,1,0
A,907.0,54.0,54.0,2.0,1.0,1.0,departamento,nunez,-34.525002098779304,-58.463857195864925,0,0,0
A,410.0,27.0,27.0,1.0,1.0,1.0,departamento,recoleta,-34.58294183623412,-58.40098125577408,0,0,0
A,283.0,30.0,30.0,1.0,1.0,1.0,departamento,villa crespo,-34.601753992605374,-58.44902471962007,0,0,0
A,712.0,46.0,46.0,2.0,1.0,1.0,departamento,recoleta,-34.583803026217026,-58.42464795939456,0,0,0
A,746.0,44.0,44.0,2.0,1.0,1.0,departamento,colegiales,-34.55640386249097,-58.46063965524332,0,0,0
A,200.0,20.0,20.0,1.0,1.0,1.0,departamento,boedo,-34.63538460239605,-58.40254324373994,0,0,0
A,363.0,32.0,32.0,1.0,1.0,1.0,departamento,caballito,-34.61922583614034,-58.43959555425291,0,0,0
A,586.0,36.0,36.0,1.0,1.0,1.0,departamento,colegiales,-34.57487983910318,-58.43422935297684,0,0,0
A,517.0,44.0,44.0,2.0,1.0,1.0,departamento,flores,-34.642530846825004,-58.47318977639928,0,0,0
A,694.0,49.0,49.0,2.0,1.0,1.0,departamento,caballito,-34.62385902428844,-58.43377043223661,0,0,0
A,564.0,60.0,60.0,3.0,2.0,1.0,casa,flores,-34.64398122788465,-58.48346878196107,0,0,0
A,543.0,43.0,43.0,2.0,1.0,1.0,departamento,villa urquiza,-34.585986203257136,-58.4954901817662,1,0,0
A,889.0,62.0,62.0,2.0,1.0,1.0,departamento,colegiales,-34.56902834505855,-58.4583014004462,0,0,0
A,889.0,61.0,61.0,3.0,1.0,1.0,departamento,colegiales,-34.547481732011015,-58.44607606584077,1,1,0
A,610.0,51.0,51.0,3.0,2.0,2.0,departamento,palermo,-34.57815695674812,-58.43005183041616,0,0,0
A,542.0,47.0,47.0,2.0,1.0,1.0,departamento,san telmo,-34.61324415804237,-58.354306031589154,0,0,0
A,419.0,40.0,40.0,1.0,1.0,1.0,departamento,almagro,-34.58509485376954,-58.414535664723154,0,0,0
A,689.0,40.0,40.0,2.0,1.0,1.0,ph,nunez,-34.524894030047875,-58.48626607352226,0,0,0
A,561.0,35.0,35.0,2.0,1.0,1.0,departamento,villa crespo,-34.587992418040685,-58.4409898951788,0,0,0
A,447.0,48.0,48.0,2.0,1.0,1.0,departamento,san telmo,-34.62146397729615,-58.37760742721443,1,0,0
A,993.0,56.0,56.0,3.0,2.0,1.0,departamento,caballito,-34.5999299930811,-58.45388174514783,0,0,0
